GameIndex,White_ACPL,Black_ACPL,White,Black
0,4417.93,4551.0,Stockfish,Lc0
1,3775.98,3629.84,Lc0,Stockfish
2,2586.91,3024.22,Stockfish,NNUE
3,5030.56,4861.88,NNUE,Stockfish
4,3099.5,3646.28,Lc0,NNUE
5,4553.5,4518.17,NNUE,Lc0
6,3277.33,3443.5,Stockfish,Lc0
7,3410.46,3356.58,Lc0,Stockfish
8,3728.47,4245.79,Stockfish,NNUE
9,2924.86,2409.85,NNUE,Stockfish
10,5968.7,6382.96,Lc0,NNUE
11,5749.9,5556.9,NNUE,Lc0
12,1653.32,1916.0,Stockfish,Lc0
13,3849.89,3754.52,Lc0,Stockfish
14,1852.59,2313.64,Stockfish,NNUE
15,2361.59,1905.62,NNUE,Stockfish
16,5727.88,6518.31,Lc0,NNUE
17,5390.59,5256.52,NNUE,Lc0
18,4906.91,5361.04,Stockfish,Lc0
19,4285.96,4142.24,Lc0,Stockfish
20,835.83,1391.56,Stockfish,NNUE
21,4422.62,4217.85,NNUE,Stockfish
22,4460.9,4931.05,Lc0,NNUE
23,3387.12,3208.09,NNUE,Lc0
24,3789.23,4094.63,Stockfish,Lc0
25,2957.73,2838.4,Lc0,Stockfish
26,4409.21,4824.79,Stockfish,NNUE
27,5470.4,5210.58,NNUE,Stockfish
28,4200.95,4658.48,Lc0,NNUE
29,5791.77,5775.24,NNUE,Lc0
30,5034.72,5250.38,Stockfish,Lc0
31,3658.41,3575.79,Lc0,Stockfish
32,3094.78,3647.78,Stockfish,NNUE
33,5639.53,5399.56,NNUE,Stockfish
34,3725.76,4282.71,Lc0,NNUE
35,4111.5,3597.71,NNUE,Lc0
36,4991.33,5135.76,Stockfish,Lc0
37,4494.61,4261.11,Lc0,Stockfish
38,4312.8,4889.87,Stockfish,NNUE
39,4800.19,4462.53,NNUE,Stockfish
40,793.75,1634.5,Lc0,NNUE
41,2499.43,2105.3,NNUE,Lc0
42,4291.42,4490.49,Stockfish,Lc0
43,938.94,502.69,Lc0,Stockfish
44,4174.42,4713.32,Stockfish,NNUE
45,4256.95,3945.6,NNUE,Stockfish
46,3092.89,3649.06,Lc0,NNUE
47,4176.56,3787.87,NNUE,Lc0
48,5113.94,5738.19,Stockfish,Lc0
49,2329.39,2162.46,Lc0,Stockfish
50,5867.11,6411.89,Stockfish,NNUE
51,4426.06,4117.35,NNUE,Stockfish
52,4104.79,4501.29,Lc0,NNUE
53,8304.96,8269.23,NNUE,Lc0
54,4228.86,4586.82,Stockfish,Lc0
55,3532.15,3387.53,Lc0,Stockfish
56,5666.33,6309.19,Stockfish,NNUE
57,4523.05,4288.85,NNUE,Stockfish
58,4453.67,4927.67,Lc0,NNUE
59,4081.27,3735.43,NNUE,Lc0
300,2101.57,2382.38,Stockfish,Lc0
301,2243.81,1937.31,Lc0,Stockfish
302,356.93,1066.36,Stockfish,NNUE
303,4357.89,4190.18,NNUE,Stockfish
304,8089.35,8606.15,Lc0,NNUE
305,5272.27,5356.24,NNUE,Lc0
306,3491.61,3697.56,Stockfish,Lc0
307,4087.29,3865.9,Lc0,Stockfish
308,351.5,1067.29,Stockfish,NNUE
309,4031.05,3780.78,NNUE,Stockfish
310,3101.5,3650.22,Lc0,NNUE
311,3839.89,3509.06,NNUE,Lc0
312,4473.51,4559.13,Stockfish,Lc0
313,3977.34,3761.22,Lc0,Stockfish
314,3982.84,4513.42,Stockfish,NNUE
315,3566.18,3567.75,NNUE,Stockfish
316,4445.86,4638.71,Lc0,NNUE
317,3945.24,3858.56,NNUE,Lc0
318,3828.74,3915.88,Stockfish,Lc0
319,506.69,159.86,Lc0,Stockfish
320,5025.0,5428.96,Stockfish,NNUE
321,5846.05,5620.84,NNUE,Stockfish
322,794.67,1629.75,Lc0,NNUE
323,5146.68,4890.05,NNUE,Lc0
324,2956.79,3321.4,Stockfish,Lc0
325,6189.67,6108.45,Lc0,Stockfish
326,573.33,1392.0,Stockfish,NNUE
327,4250.7,4023.23,NNUE,Stockfish
328,4196.71,4655.9,Lc0,NNUE
329,5831.1,5482.0,NNUE,Lc0
330,3605.16,3874.97,Stockfish,Lc0
331,2243.67,1958.65,Lc0,Stockfish
332,2667.24,3147.43,Stockfish,NNUE
333,2383.18,1898.0,NNUE,Stockfish
334,3094.56,3641.33,Lc0,NNUE
335,4083.17,3381.24,NNUE,Lc0
336,2732.46,2900.56,Stockfish,Lc0
337,4868.38,4793.65,Lc0,Stockfish
338,360.29,1062.57,Stockfish,NNUE
339,2359.94,1901.62,NNUE,Stockfish
340,4453.33,4928.29,Lc0,NNUE
341,4406.73,4000.36,NNUE,Lc0
342,4294.67,4501.57,Stockfish,Lc0
343,4641.37,4567.52,Lc0,Stockfish
344,5785.65,6213.85,Stockfish,NNUE
345,5624.5,5468.95,NNUE,Stockfish
346,3595.27,4029.18,Lc0,NNUE
347,3395.11,2966.76,NNUE,Lc0
348,3847.31,3931.27,Stockfish,Lc0
349,5176.95,4891.51,Lc0,Stockfish
350,4278.63,4835.67,Stockfish,NNUE
351,2609.24,2054.38,NNUE,Stockfish
352,5786.72,6366.72,Lc0,NNUE
353,5540.05,5527.55,NNUE,Lc0
354,3894.45,4010.02,Stockfish,Lc0
355,1541.37,1255.85,Lc0,Stockfish
356,6858.09,7248.74,Stockfish,NNUE
357,4750.95,4525.68,NNUE,Stockfish
358,4128.33,4582.95,Lc0,NNUE
359,2538.81,2308.45,NNUE,Lc0
360,2129.3,2456.53,Stockfish,Lc0
361,5677.27,5603.43,Lc0,Stockfish
362,3852.79,4369.21,Stockfish,NNUE
363,4956.85,4663.68,NNUE,Stockfish
364,3092.89,3645.5,Lc0,NNUE
365,3807.0,3365.71,NNUE,Lc0
366,4151.43,4382.79,Stockfish,Lc0
367,6757.24,6715.14,Lc0,Stockfish
368,600.21,1309.57,Stockfish,NNUE
369,5640.56,5638.08,NNUE,Stockfish
370,5974.78,6224.35,Lc0,NNUE
371,5610.3,5630.55,NNUE,Lc0
372,3922.1,4002.23,Stockfish,Lc0
373,4107.8,3836.88,Lc0,Stockfish
374,849.83,1678.0,Stockfish,NNUE
375,7087.57,6978.48,NNUE,Stockfish
376,4165.0,4677.9,Lc0,NNUE
377,2019.88,1527.06,NNUE,Lc0
378,2757.64,2929.12,Stockfish,Lc0
379,4556.42,4345.02,Lc0,Stockfish
380,4821.45,5501.9,Stockfish,NNUE
381,3451.29,3046.81,NNUE,Stockfish
382,5839.23,6219.62,Lc0,NNUE
383,3634.25,3287.93,NNUE,Lc0
384,4943.39,5199.05,Stockfish,Lc0
385,2257.33,1959.65,Lc0,Stockfish
386,6297.07,6517.52,Stockfish,NNUE
387,4894.0,4701.0,NNUE,Stockfish
388,2052.31,2680.5,Lc0,NNUE
389,5654.88,5406.69,NNUE,Lc0
390,3516.09,3777.12,Stockfish,Lc0
391,4676.53,4516.67,Lc0,Stockfish
392,5063.29,5762.14,Stockfish,NNUE
393,4184.13,3922.05,NNUE,Stockfish
394,2183.57,2895.64,Lc0,NNUE
395,1600.53,1081.88,NNUE,Lc0
396,4767.64,5018.23,Stockfish,Lc0
397,2715.46,2667.18,Lc0,Stockfish
398,3987.47,4498.63,Stockfish,NNUE
399,6494.26,6302.5,NNUE,Stockfish
400,3084.56,3628.56,Lc0,NNUE
401,2543.24,2253.3,NNUE,Lc0
402,3065.07,3377.83,Stockfish,Lc0
403,4660.52,4442.53,Lc0,Stockfish
404,365.21,1073.5,Stockfish,NNUE
405,3743.7,3669.77,NNUE,Stockfish
406,1561.81,2195.12,Lc0,NNUE
407,3203.17,3080.18,NNUE,Lc0
408,3797.55,3989.11,Stockfish,Lc0
409,4673.72,4268.07,Lc0,Stockfish
410,4333.43,4584.39,Stockfish,NNUE
411,3877.52,3549.71,NNUE,Stockfish
412,4450.86,4926.29,Lc0,NNUE
413,3259.3,2905.37,NNUE,Lc0
414,4098.26,4228.0,Stockfish,Lc0
415,4245.56,4130.61,Lc0,Stockfish
416,4187.37,4704.89,Stockfish,NNUE
417,2357.35,1905.0,NNUE,Stockfish
418,5977.83,6317.39,Lc0,NNUE
419,1876.07,1372.43,NNUE,Lc0
420,5794.48,6149.33,Stockfish,Lc0
421,74.25,78.91,Lc0,Stockfish
422,3002.45,3420.55,Stockfish,NNUE
423,2374.29,1894.94,NNUE,Stockfish
424,3087.5,3635.94,Lc0,NNUE
425,3816.33,3484.24,NNUE,Lc0
426,3504.47,3763.34,Stockfish,Lc0
427,4676.35,4454.76,Lc0,Stockfish
428,871.5,1487.62,Stockfish,NNUE
429,2629.94,2149.5,NNUE,Stockfish
430,3366.53,3905.0,Lc0,NNUE
431,3516.33,2935.45,NNUE,Lc0
432,4738.33,4907.28,Stockfish,Lc0
433,1752.97,1489.9,Lc0,Stockfish
434,3983.57,4439.11,Stockfish,NNUE
435,3975.7,3600.42,NNUE,Stockfish
436,5991.83,6429.7,Lc0,NNUE
437,1606.41,1110.75,NNUE,Lc0
438,1269.6,1643.73,Stockfish,Lc0
439,4697.02,4631.24,Lc0,Stockfish
440,2004.35,2384.41,Stockfish,NNUE
441,4626.11,4324.61,NNUE,Stockfish
442,2224.0,3219.4,Lc0,NNUE
443,6591.92,6514.57,NNUE,Lc0
444,4377.82,4629.12,Stockfish,Lc0
445,5898.47,5824.76,Lc0,Stockfish
446,355.43,1072.57,Stockfish,NNUE
447,2869.59,2460.0,NNUE,Stockfish
448,6124.14,6538.91,Lc0,NNUE
449,3486.08,2960.67,NNUE,Lc0
450,4247.51,4517.4,Stockfish,Lc0
451,2607.16,2369.03,Lc0,Stockfish
452,3377.17,4132.61,Stockfish,NNUE
453,5426.1,5431.4,NNUE,Stockfish
454,4288.11,4858.89,Lc0,NNUE
455,4113.78,3804.41,NNUE,Lc0
456,6087.59,6336.91,Stockfish,Lc0
457,1586.2,1147.42,Lc0,Stockfish
458,2907.38,3323.0,Stockfish,NNUE
459,6205.43,6026.65,NNUE,Stockfish
460,3106.33,3653.0,Lc0,NNUE
461,5756.76,5545.7,NNUE,Lc0
462,3879.63,4148.82,Stockfish,Lc0
463,5054.27,4963.84,Lc0,Stockfish
464,358.43,1067.93,Stockfish,NNUE
465,4709.63,4723.22,NNUE,Stockfish
466,2544.79,3248.37,Lc0,NNUE
467,2020.53,1516.38,NNUE,Lc0
468,746.5,1011.75,Stockfish,Lc0
469,3862.94,3895.89,Lc0,Stockfish
470,354.21,1063.79,Stockfish,NNUE
471,6501.84,6309.56,NNUE,Stockfish
472,4284.95,4925.62,Lc0,NNUE
473,5661.5,5589.68,NNUE,Lc0
474,4151.24,4478.63,Stockfish,Lc0
475,4106.24,3857.17,Lc0,Stockfish
