GameIndex,White_ACPL,Black_ACPL,White,Black
0,2867.91,2719.11,Stockfish,Lc0
1,2582.17,3134.11,Lc0,Stockfish
2,1759.72,2062.72,Stockfish,NNUE
3,4800.0,4804.29,NNUE,Stockfish
4,2313.0,2940.0,Lc0,NNUE
5,1458.0,1102.58,NNUE,Lc0
6,2783.28,2285.48,Stockfish,Lc0
7,3074.62,3339.05,Lc0,Stockfish
8,3311.0,3715.43,Stockfish,NNUE
9,7336.42,7289.71,NNUE,Stockfish
10,1803.67,2359.5,Lc0,NNUE
11,2393.05,2037.05,NNUE,Lc0
12,2114.76,1927.11,Stockfish,Lc0
13,2174.9,2412.85,Lc0,Stockfish
14,8914.9,8985.94,Stockfish,NNUE
15,5493.38,5476.16,NNUE,Stockfish
16,1987.81,2681.19,Lc0,NNUE
17,4093.53,3741.69,NNUE,Lc0
18,2743.93,2572.95,Stockfish,Lc0
19,2354.0,2480.4,Lc0,Stockfish
20,5339.79,5288.21,Stockfish,NNUE
21,4000.77,3636.43,NNUE,Stockfish
22,4202.96,4611.58,Lc0,NNUE
23,3381.21,2979.72,NNUE,Lc0
24,906.21,600.07,Stockfish,Lc0
25,5708.33,6041.93,Lc0,Stockfish
26,3581.61,3642.58,Stockfish,NNUE
27,9081.18,9252.27,NNUE,Stockfish
28,4442.64,4763.0,Lc0,NNUE
29,3536.42,3176.78,NNUE,Lc0
30,4092.75,3614.13,Stockfish,Lc0
31,1988.4,2376.0,Lc0,Stockfish
32,4682.21,4930.31,Stockfish,NNUE
33,4259.63,4110.08,NNUE,Stockfish
34,4439.58,4848.38,Lc0,NNUE
35,3039.37,2951.67,NNUE,Lc0
36,3948.7,3830.1,Stockfish,Lc0
37,5482.56,5802.33,Lc0,Stockfish
38,4083.8,4296.34,Stockfish,NNUE
39,2508.71,2184.7,NNUE,Stockfish
40,4200.26,4700.61,Lc0,NNUE
41,1474.92,1097.75,NNUE,Lc0
42,2551.78,2463.78,Stockfish,Lc0
43,4037.38,4262.54,Lc0,Stockfish
44,5564.69,5928.76,Stockfish,NNUE
45,1864.79,1587.04,NNUE,Stockfish
46,4541.36,4991.27,Lc0,NNUE
47,3496.47,3130.61,NNUE,Lc0
48,4110.84,3931.04,Stockfish,Lc0
49,6178.14,6048.26,Lc0,Stockfish
50,7972.18,8354.61,Stockfish,NNUE
51,5816.36,5663.84,NNUE,Stockfish
52,4404.25,4796.14,Lc0,NNUE
53,1585.87,1008.93,NNUE,Lc0
54,1507.8,1303.91,Stockfish,Lc0
55,2840.87,2921.82,Lc0,Stockfish
56,3011.17,3269.06,Stockfish,NNUE
57,5717.06,5437.7,NNUE,Stockfish
58,1664.6,2128.8,Lc0,NNUE
59,1668.33,1073.64,NNUE,Lc0
300,2527.1,2507.38,Stockfish,Lc0
301,1440.62,1831.69,Lc0,Stockfish
302,8972.84,8943.09,Stockfish,NNUE
303,5839.85,5889.23,NNUE,Stockfish
304,2831.0,3030.42,Lc0,NNUE
305,3579.89,3232.83,NNUE,Lc0
306,4986.36,4847.38,Stockfish,Lc0
307,3824.78,4180.96,Lc0,Stockfish
308,4982.61,5215.42,Stockfish,NNUE
309,9289.35,9300.41,NNUE,Stockfish
310,2367.05,2877.16,Lc0,NNUE
311,2461.25,2085.53,NNUE,Lc0
312,1900.55,1649.13,Stockfish,Lc0
313,3890.39,4259.03,Lc0,Stockfish
314,8194.79,8355.98,Stockfish,NNUE
315,15123.25,14996.7,NNUE,Stockfish
316,4463.79,4794.86,Lc0,NNUE
317,3870.55,3568.11,NNUE,Lc0
318,3517.06,3327.24,Stockfish,Lc0
319,1021.7,1024.52,Lc0,Stockfish
320,2374.8,2763.28,Stockfish,NNUE
321,9679.86,9654.41,NNUE,Stockfish
322,1789.25,2405.25,Lc0,NNUE
323,4452.72,4128.35,NNUE,Lc0
324,1345.51,1104.25,Stockfish,Lc0
325,3453.49,3684.68,Lc0,Stockfish
326,5602.23,5746.97,Stockfish,NNUE
327,4164.85,3999.88,NNUE,Stockfish
328,3248.18,3726.88,Lc0,NNUE
329,1955.17,1587.95,NNUE,Lc0
330,3533.05,3300.08,Stockfish,Lc0
331,4665.13,4740.44,Lc0,Stockfish
332,6272.62,6668.86,Stockfish,NNUE
333,8442.55,8687.86,NNUE,Stockfish
334,4293.05,4791.55,Lc0,NNUE
335,2451.6,2093.05,NNUE,Lc0
336,1098.56,852.86,Stockfish,Lc0
337,166.16,552.44,Lc0,Stockfish
338,6471.18,6839.56,Stockfish,NNUE
339,6617.12,6455.24,NNUE,Stockfish
340,4822.78,5236.35,Lc0,NNUE
341,1872.61,1392.18,NNUE,Lc0
342,3895.39,3777.7,Stockfish,Lc0
343,4533.17,4638.98,Lc0,Stockfish
344,5145.08,5369.31,Stockfish,NNUE
345,4487.5,4337.04,NNUE,Stockfish
346,2401.11,2909.37,Lc0,NNUE
347,1662.53,1070.5,NNUE,Lc0
348,3641.26,3635.49,Stockfish,Lc0
349,81.5,688.62,Lc0,Stockfish
350,5010.69,5301.08,Stockfish,NNUE
351,5192.26,5088.03,NNUE,Stockfish
352,5557.04,6013.14,Lc0,NNUE
353,3565.41,3253.95,NNUE,Lc0
354,3524.07,3300.96,Stockfish,Lc0
355,5003.52,5335.88,Lc0,Stockfish
356,7416.36,7586.91,Stockfish,NNUE
357,8098.8,7910.41,NNUE,Stockfish
358,2684.82,3440.47,Lc0,NNUE
359,3468.53,2859.83,NNUE,Lc0
360,3565.19,3356.16,Stockfish,Lc0
361,5106.65,5441.97,Lc0,Stockfish
362,2648.85,3035.15,Stockfish,NNUE
363,1633.61,1141.59,NNUE,Stockfish
364,5379.91,5859.05,Lc0,NNUE
365,1457.92,1111.21,NNUE,Lc0
