GameIndex,White_ACPL,Black_ACPL,White,Black
0,1532.33,1153.91,Stockfish,Lc0
1,2834.7,2974.86,Lc0,Stockfish
2,3100.26,2930.61,Stockfish,Lc0
3,1825.85,2151.31,Lc0,Stockfish
4,4399.22,4404.6,Stockfish,Lc0
5,1374.56,1571.07,Lc0,Stockfish
6,2988.0,2836.5,Stockfish,Lc0
7,1484.62,1907.21,Lc0,Stockfish
8,3051.83,2793.72,Stockfish,Lc0
9,2022.78,2356.38,Lc0,Stockfish
10,1943.25,1730.92,Stockfish,Lc0
11,2596.84,2872.92,Lc0,Stockfish
12,5186.78,5013.85,Stockfish,Lc0
13,761.68,1177.64,Lc0,Stockfish
14,3864.95,3605.08,Stockfish,Lc0
15,2854.75,3242.71,Lc0,Stockfish
16,1571.0,1357.84,Stockfish,Lc0
17,2094.33,2366.58,Lc0,Stockfish
18,6044.97,5958.59,Stockfish,Lc0
19,3310.53,3576.58,Lc0,Stockfish
100,1943.25,1730.92,Stockfish,Lc0
101,4260.83,4503.17,Lc0,Stockfish
102,3537.0,3422.71,Stockfish,Lc0
103,4554.02,4763.71,Lc0,Stockfish
104,4351.0,4186.55,Stockfish,Lc0
105,4518.03,4638.95,Lc0,Stockfish
106,3284.11,3151.86,Stockfish,Lc0
107,2652.38,2886.38,Lc0,Stockfish
108,1828.34,1563.48,Stockfish,Lc0
109,4163.31,4295.77,Lc0,Stockfish
110,4338.39,4159.97,Stockfish,Lc0
111,149.62,770.81,Lc0,Stockfish
112,2562.03,1996.69,Stockfish,Lc0
113,2354.03,2463.03,Lc0,Stockfish
114,4867.9,4723.63,Stockfish,Lc0
115,1311.18,1635.75,Lc0,Stockfish
116,4620.41,4575.25,Stockfish,Lc0
117,967.12,1353.73,Lc0,Stockfish
118,2297.39,2343.34,Stockfish,Lc0
119,2471.33,2842.81,Lc0,Stockfish
120,508.19,345.07,Stockfish,Lc0
121,3369.66,3479.1,Lc0,Stockfish
122,3822.08,3559.0,Stockfish,Lc0
123,5730.73,5970.14,Lc0,Stockfish
124,4408.52,4226.09,Stockfish,Lc0
125,3456.58,3619.85,Lc0,Stockfish
126,2512.36,2334.94,Stockfish,Lc0
127,1730.43,2090.29,Lc0,Stockfish
128,1319.08,976.4,Stockfish,Lc0
129,1744.66,2018.86,Lc0,Stockfish
130,4338.39,4159.97,Stockfish,Lc0
131,2457.21,2869.94,Lc0,Stockfish
132,2799.92,2404.74,Stockfish,Lc0
133,1316.72,1645.21,Lc0,Stockfish
134,4483.16,4298.68,Stockfish,Lc0
135,2547.36,2867.04,Lc0,Stockfish
136,2300.94,2029.23,Stockfish,Lc0
137,3648.87,4011.39,Lc0,Stockfish
138,2273.74,2055.42,Stockfish,Lc0
139,1928.62,2352.18,Lc0,Stockfish
140,1943.25,1730.92,Stockfish,Lc0
141,1554.29,2040.9,Lc0,Stockfish
142,3083.64,2871.15,Stockfish,Lc0
143,554.18,916.82,Lc0,Stockfish
144,3176.35,3124.32,Stockfish,Lc0
145,4012.55,4235.86,Lc0,Stockfish
146,1021.03,699.82,Stockfish,Lc0
147,2059.94,2232.17,Lc0,Stockfish
148,2826.69,2822.44,Stockfish,Lc0
149,1005.92,1273.08,Lc0,Stockfish
150,4338.39,4159.97,Stockfish,Lc0
151,932.62,1084.05,Lc0,Stockfish
152,2540.16,2290.19,Stockfish,Lc0
153,2316.7,2642.04,Lc0,Stockfish
154,3786.47,3627.46,Stockfish,Lc0
155,3822.83,3964.81,Lc0,Stockfish
156,2428.07,2369.48,Stockfish,Lc0
157,3779.91,4069.36,Lc0,Stockfish
158,3414.06,3334.54,Stockfish,Lc0
159,5992.23,6317.29,Lc0,Stockfish
160,2815.72,2607.13,Stockfish,Lc0
161,3276.32,3416.81,Lc0,Stockfish
162,1373.75,1098.61,Stockfish,Lc0
163,3129.37,3447.23,Lc0,Stockfish
164,852.13,545.03,Stockfish,Lc0
165,2453.7,2950.4,Lc0,Stockfish
166,2660.6,2443.85,Stockfish,Lc0
167,2483.69,2741.88,Lc0,Stockfish
168,5866.1,5768.44,Stockfish,Lc0
169,3640.41,3883.87,Lc0,Stockfish
170,1478.09,1223.76,Stockfish,Lc0
171,2005.63,2320.96,Lc0,Stockfish
172,2610.07,2327.52,Stockfish,Lc0
173,5123.67,5613.03,Lc0,Stockfish
174,3233.34,3015.32,Stockfish,Lc0
175,1536.12,2127.29,Lc0,Stockfish
176,1966.03,1657.67,Stockfish,Lc0
177,1188.21,1419.33,Lc0,Stockfish
178,4052.0,3844.11,Stockfish,Lc0
179,3597.68,4008.05,Lc0,Stockfish
180,3766.56,3522.58,Stockfish,Lc0
181,2873.94,3162.97,Lc0,Stockfish
182,2790.39,2529.03,Stockfish,Lc0
183,3067.26,3397.13,Lc0,Stockfish
184,3433.17,3144.96,Stockfish,Lc0
185,3822.11,4212.16,Lc0,Stockfish
186,3040.14,2965.71,Stockfish,Lc0
187,3570.61,3723.72,Lc0,Stockfish
188,4762.3,4379.0,Stockfish,Lc0
189,2272.96,2686.46,Lc0,Stockfish
190,4338.39,4159.97,Stockfish,Lc0
191,3408.67,3540.61,Lc0,Stockfish
192,3952.31,3617.76,Stockfish,Lc0
193,3149.26,3357.88,Lc0,Stockfish
194,2439.48,2692.66,Stockfish,Lc0
195,2306.31,2538.06,Lc0,Stockfish
196,3230.18,3147.11,Stockfish,Lc0
197,3213.59,3487.27,Lc0,Stockfish
198,799.0,289.78,Stockfish,Lc0
199,1718.46,2039.07,Lc0,Stockfish
20,3044.37,2932.97,Stockfish,Lc0
21,2943.56,3377.63,Lc0,Stockfish
22,1952.64,1669.33,Stockfish,Lc0
23,1651.86,1925.69,Lc0,Stockfish
24,2911.55,2521.96,Stockfish,Lc0
25,2805.74,3115.29,Lc0,Stockfish
26,1277.24,1023.97,Stockfish,Lc0
27,3153.33,3308.0,Lc0,Stockfish
28,3287.43,3172.2,Stockfish,Lc0
29,1750.76,2089.41,Lc0,Stockfish
30,1994.85,1573.68,Stockfish,Lc0
31,1571.91,1795.29,Lc0,Stockfish
32,6977.62,7080.49,Stockfish,Lc0
33,4459.44,5008.0,Lc0,Stockfish
34,3126.08,3009.37,Stockfish,Lc0
35,606.12,962.0,Lc0,Stockfish
36,3043.68,2877.08,Stockfish,Lc0
37,2862.26,3293.52,Lc0,Stockfish
38,4274.73,4149.21,Stockfish,Lc0
39,3572.23,3856.71,Lc0,Stockfish
40,3584.38,3282.54,Stockfish,Lc0
41,4976.39,5441.17,Lc0,Stockfish
42,2544.59,2382.82,Stockfish,Lc0
43,2577.38,2893.53,Lc0,Stockfish
44,2265.25,1976.81,Stockfish,Lc0
45,4159.89,4412.57,Lc0,Stockfish
